Boutton, Temps(sec)
start,0
null,0.001
caisse,13.731
null,19.242
caisse,22.019
null,25.059
null,37.211
L,58.715
null,64.227
caisse,76.195
null,81.499
caisse,85.659
null,90.667
R,109.724
null,113.587
R,118.5
null,122.939
caisse,136.171
null,143.291
R,172.195
null,174.794
Down_L,177.979
null,180.395
Down_R,190.003
null,194.715
caisse,205.987
null,213.395
caisse,217.139
null,221.195
L,237.595
null,242.467
caisse,254.003
null,262.203
caisse,266.219
null,273.243
L,279.331
null,283.099
L,287.227
null,293.979
L,302.851
null,308.491
caisse,319.458
null,327.659
caisse,331.187
null,335.443
Down_L,344.411
null,349.699
R,358.523
null,363.62
caisse,378.595
null,385.947
caisse,390.02
null,395.923
L,404.563
null,409.74
caisse,420.796
null,430.059
caisse,434.98
null,438.339
R,444.395
null,449.323
