Boutton, Temps(sec)
start,0
vide,0.001
caisse,13.889
null,20.881
L,31.304
vide,41.153
caisse,48.849
null,58.321
L,65.169
vide,70.689
R,110.025
vide,115.643
caisse,127.793
null,140.881
vide,145.345
L,149.505
vide,154.665
caisse,163.369
Down_R,180.633
vide,186.017
caisse,195.977
null,201.266
vide,205.986
R,212.033
vide,222.753
caisse,232.345
vide,242.266
R,261.441
vide,267.041
caisse,279.809
null,286.241
vide,290.161
L,297.377
vide,303.673
caisse,314.945
vide,331.905
Down_R,356.138
vide,361.937
Down_R,390.233
vide,397.681
L,417.193
vide,424.857
