Boutton, Temps(sec)
start,0
vide,0.0
caisse,13.05
null,19.69
L,25.746
vide,32.938
caisse,43.57
null,48.65
vide,53.554
R,60.866
vide,65.474
caisse,79.075
null,84.13
vide,90.283
L,96.146
vide,104.01
caisse,112.027
null,119.922
vide,125.266
L,132.147
vide,138.226
caisse,148.538
vide,156.498
Down_L,161.378
vide,167.618
caisse,182.698
null,189.634
caisse,196.282
vide,198.618
R,221.866
vide,227.866
caisse,241.658
null,247.739
caisse,251.13
vide,258.211
Down_L,263.922
vide,269.395
L,295.53
null,302.186
L,339.491
null,346.378
caisse,362.69
vide,372.082
