Boutton, Temps(sec)
start,0
vide,0.008
caisse,20.035
null,25.611
vide,29.523
L,33.547
vide,39.219
caisse,50.964
null,55.691
caisse,60.179
vide,67.531
Down_L,72.747
vide,78.468
caisse,91.587
null,100.699
vide,105.388
caisse,110.331
vide,113.971
L,119.459
vide,126.083
L,151.059
vide,155.507
caisse,166.235
null,172.388
caisse,176.1
vide,179.395
L,186.148
vide,191.148
caisse,202.019
null,208.491
caisse,215.179
vide,218.044
Down_L,221.915
vide,228.243
caisse,241.235
null,250.667
vide,260.979
R,284.428
vide,289.571
caisse,303.707
null,311.587
caisse,314.5
vide,318.395
Down_R,324.203
vide,330.275
caisse,342.052
vide,357.099
Down_L,381.995
vide,387.651
