Boutton, Temps(sec)
start,0
vide,0.001
caisse,11.386
null,16.339
vide,19.363
L,26.586
vide,33.498
null,41.794
caisse,48.083
null,53.106
caisse,58.227
vide,61.17
Down_L,65.65
vide,73.306
caisse,85.05
null,91.195
caisse,94.723
vide,100.979
Down_R,126.978
vide,132.091
caisse,143.859
null,148.97
caisse,153.738
vide,157.17
L,163.562
vide,168.17
caisse,179.49
null,185.875
caisse,189.235
vide,192.619
R,197.731
vide,203.163
caisse,215.466
null,223.61
caisse,228.019
vide,230.731
Down_L,260.058
vide,265.235
caisse,279.835
vide,293.563
Down_R,301.003
vide,307.986
caisse,322.851
vide,334.882
Down_L,365.683
vide,374.106
