Boutton, Temps(sec)
start,0
vide,0.056
caisse,16.315
null,23.628
vide,28.578
R,39.139
vide,44.739
caisse,59.211
null,65.731
vide,73.739
Down_L,78.739
vide,84.411
caisse,97.675
null,103.379
caisse,107.699
vide,111.658
L,140.308
vide,145.939
caisse,154.371
null,162.595
caisse,168.442
vide,174.211
L,179.395
vide,187.883
caisse,195.595
null,204.371
vide,210.099
Down_L,215.827
vide,222.882
caisse,235.227
null,244.499
caisse,247.635
vide,253.811
R,277.122
vide,281.755
caisse,294.747
null,301.603
caisse,307.275
vide,313.579
L,317.907
vide,322.963
caisse,336.915
null,347.243
caisse,354.331
vide,356.923
R,400.875
null,412.371
vide,472.971
