Boutton, Temps(sec)
start,0
vide,0.35
caisse,11.771
null,17.355
caisse,20.972
vide,24.764
L,38.739
vide,44.147
caisse,57.388
null,63.188
caisse,66.627
vide,72.724
Down_L,77.956
vide,83.116
caisse,97.453
null,105.14
caisse,109.155
vide,112.492
Down_R,135.668
vide,142.323
caisse,150.195
null,157.699
caisse,162.1
vide,165.467
L,170.091
vide,175.251
caisse,185.732
null,193.699
vide,197.547
R,203.307
vide,209.604
caisse,224.683
null,235.507
vide,239.947
L,258.675
vide,264.036
caisse,277.611
null,283.403
caisse,286.692
vide,290.795
R,302.004
vide,307.659
caisse,321.292
null,329.187
caisse,334.036
vide,337.683
L,361.22
vide,367.3
