Boutton, Temps(sec)
start,0
vide,0.001
caisse,14.22
vide,25.092
Down_R,32.324
vide,38.412
caisse,49.547
vide,57.156
caisse,63.996
vide,74.036
Down_L,81.044
vide,86.604
caisse,100.132
vide,112.388
L,135.388
vide,141.955
caisse,148.948
vide,159.148
L,167.116
vide,172.572
caisse,185.044
vide,200.219
R,205.212
vide,210.7
caisse,225.492
vide,233.908
R,259.236
vide,266.244
caisse,278.82
vide,289.484
Down_R,296.51
vide,302.148
caisse,317.212
vide,322.668
caisse,325.556
vide,329.404
L,376.788
vide,389.212
L,411.412
vide,416.54
