Boutton, Temps(sec)
start,0
null,0.722
caisse,13.58
null,18.628
caisse,23.356
null,27.044
Down_R,30.86
null,37.021
caisse,52.861
null,58.54
caisse,61.381
null,64.412
Down_L,73.644
null,78.717
caisse,87.62
null,95.284
L,105.38
null,109.596
caisse,120.756
null,125.812
caisse,129.052
null,132.644
L,139.556
null,144.796
caisse,153.428
null,160.556
caisse,165.404
null,168.5
Down_R,177.596
null,182.3
caisse,191.908
null,199.508
caisse,203.892
null,207.58
R,212.644
null,218.316
caisse,229.716
null,240.332
caisse,243.372
null,248.604
Down_R,254.396
null,259.276
caisse,271.404
null,278.628
caisse,286.66
Down_L,294.556
null,300.388
caisse,310.3
null,315.5
