Boutton, Temps(sec)
start,0
vide,0.001
caisse,11.741
vide,20.283
L,27.482
vide,32.546
caisse,44.978
vide,54.811
caisse,59.787
vide,63.971
R,69.947
vide,74.947
caisse,87.219
null,93.171
caisse,95.707
vide,99.579
L,124.939
vide,133.507
caisse,141.787
vide,157.587
L,161.827
vide,168.531
caisse,177.867
vide,186.667
R,191.771
vide,199.971
caisse,213.619
vide,225.467
R,247.267
vide,252.651
caisse,267.955
null,274.523
vide,281.923
L,286.187
vide,291.499
caisse,305.636
vide,312.755
Down_L,318.483
vide,323.01
Down_L,341.89
vide,347.107
