Boutton, Temps(sec)
start,0
null,0.002
caisse,12.387
null,21.522
caisse,25.523
null,28.93
L,32.963
null,37.227
caisse,46.89
null,52.786
caisse,55.267
null,62.211
R,65.755
null,71.187
caisse,80.083
null,84.499
caisse,87.651
null,91.891
Down_R,103.251
null,107.843
caisse,117.707
null,123.019
caisse,125.803
null,129.355
Down_R,134.37
null,139.339
caisse,150.771
null,155.379
caisse,159.035
null,162.954
Down_R,167.675
null,172.227
caisse,183.267
null,188.563
R,197.171
null,202.715
caisse,214.347
null,218.835
caisse,222.547
null,226.939
L,230.603
null,236.411
caisse,244.315
null,256.731
R,264.043
null,269.155
