Boutton, Temps(sec)
start,0
null,0.002
caisse,8.715
null,16.699
caisse,21.092
null,25.668
L,29.996
null,34.916
caisse,45.836
null,51.644
caisse,57.524
null,62.027
R,65.676
null,70.324
caisse,81.228
null,90.156
caisse,95.075
null,100.444
Down_R,125.252
null,130.891
caisse,143.524
null,150.3
caisse,155.156
null,160.956
L,167.156
null,172.428
caisse,180.932
null,189.748
caisse,193.772
null,199.412
R,209.196
null,216.075
L,238.075
null,243.276
caisse,256.148
null,263.068
caisse,267.196
null,275.283
R,280.844
null,286.508
caisse,298.924
null,304.436
caisse,308.196
null,313.18
Down_R,324.412
null,330.395
caisse,341.588
null,349.172
caisse,353.028
null,358.588
R,363.692
null,370.524
