Boutton, Temps(sec)
start,0
vide,0.001
caisse,12.056
vide,20.271
caisse,23.503
vide,28.303
L,34.096
vide,39.183
caisse,52.144
vide,62.447
Down_L,69.799
vide,74.447
caisse,89.496
null,96.536
caisse,99.328
vide,103.776
L,130.256
vide,135.368
caisse,145.264
vide,156.68
Down_R,163.391
vide,168.047
caisse,178.088
null,184.031
caisse,187.247
vide,190.264
Down_L,200.52
vide,207.231
caisse,219.744
vide,231.024
R,255.76
vide,261.256
caisse,275.056
vide,281.52
null,285.496
caisse,287.888
vide,291.344
L,296.832
vide,301.752
caisse,315.152
vide,329.448
Down_L,360.647
vide,365.8
