Boutton, Temps(sec)
start,0
null,0.001
caisse,12.239
null,17.767
caisse,21.288
null,25.503
L,29.999
null,35.719
null,41.263
null,47.775
caisse,51.959
null,57.055
caisse,60.983
null,65.471
Down_L,70.375
null,75.431
caisse,85.023
null,92.287
L,102.743
null,106.879
caisse,118.455
null,125.519
caisse,130.238
null,134.711
Down_R,151.119
null,155.783
caisse,166.471
null,171.063
caisse,175.271
null,178.031
L,185.703
null,189.623
caisse,200.655
null,210.88
R,221.183
null,225.815
caisse,233.975
null,242.599
Down_R,250.503
null,255.287
caisse,268.039
null,276.759
caisse,280.767
null,283.863
R,287.911
null,292.271
